,artists,track,album,time (s),popularity,year,id
105,['Hammock'],Longest Year (2020),Longest Year (2020),533.707,23,2010,0MlkZnfwsjwHHSfn07N8ao
106,"['Jeremih', '50 Cent']",Down On Me,All About You,228.453,77,2010,0x3TibRgnSqzkcwrqBd4iX
107,['The Wonder Years'],"Cheap Shots, Youth Anthems",Sleeping on Trash: A Collection of Songs Recorded 2005-2010,120.748,19,2010,7mIjCkF7cLMYGGwcpB8pXI
108,"['Usher', 'will.i.am']",OMG (feat. will.i.am),Raymond v Raymond (Expanded Edition),269.493,77,2010,1bM50INir8voAkVoKuvEUI
109,['David Bowie'],Golden Years - 2016 Remaster,Station to Station (2016 Remaster),243.28,66,2010,4JRem7xHp2l0kmUvt9zCKu
110,"['Maroon 5', 'Christina Aguilera']","Moves Like Jagger - Studio Recording From ""The Voice"" Performance",Hands All Over,201.16,74,2010,7LcfRTgAVTs5pQGEQgUEzN
111,['Pink Floyd'],In the Beechwoods - 2010 Mix,"The Early Years, 1967-1972, Cre/ation",282.64,20,2010,2RqTU0L6kzp6NGKhgBbEAG
112,"['Kanye West', 'Kid Cudi', 'Raekwon']",Gorgeous,My Beautiful Dark Twisted Fantasy,357.653,76,2010,23SZWX2IaDnxmhFsSLvkG2
113,['Iron Maiden'],Wasted Years - 2015 Remaster,Somewhere in Time (2015 - Remaster),309.64,57,2010,2V0T2LS0pf2r3EFpOEkZFO
114,"['Rick Ross', 'Drake', 'Chrisette Michele']",Aston Martin Music,Teflon Don,270.626,75,2010,5W7xC99N2Zzfh69r7I7zWK
115,"['Colour Girl', 'Y Tribe']",Joyrider - Y Tribe's Underground Remix,Raw Talent: 3 Years In The Makin' (2007-2010),239.173,43,2010,01GLLCecGsPfuPmFHDqMCu
116,['Bruno Mars'],The Lazy Song,Doo-Wops & Hooligans,189.109,76,2010,1ExfPZEiahqhLyajhybFeS
117,['Simply Red'],Holding Back the Years - 2008 Remaster,Picture Book (Expanded Version),269.84,72,2010,1yg7fwwYmx9DQ2TdXUmfpJ
118,"['Far East Movement', 'Ryan Tedder', 'Ruff Loaderz']",Rocketeer,Free Wired,211.253,72,2010,45sDIKapDyxPl307QpEAwl
119,"['ทรี ทู วัน', 'รวมศิลปิน (เบส์ท ออฟ เดอะ เยียร์ 2010)']",แค่ที่รัก ( My Boo ),BEST OF THE YEAR 2010,262.44,42,2010,4iMKZMnyyfisxohuAyJIq1
120,['Cody Jinks'],Hippies and Cowboys,Less Wise,300.68,72,2010,1YWSAC0JPLKpf0PVCie4T7
121,['Matt Monro'],All Of A Sudden - Remastered 2010,The Best Of The Capitol Years,203.093,19,2010,1EHm9wcJKe8PGD303ou51F
122,['Kesha'],We R Who We R,Cannibal (Expanded Edition),204.76,76,2010,3LUWWox8YYykohBbHUrrxd
123,['Brennan Heart'],Alternate Reality (Qlimax Anthem 2010),Brennan Heart 20 Years,432.0,29,2010,4Ro3mp6MJ1YeYmf8gH3oAH
124,"['Ludacris', 'Nicki Minaj']",My Chick Bad,Battle Of The Sexes (Deluxe),216.933,73,2010,3bMNprrp2JDKZsGbiXpsJl
125,['Years & Years'],King,2010s Hits,214.834,21,2010,0dxDAIks2H635HonY8fbE8
126,['Bruno Mars'],Runaway Baby,Doo-Wops & Hooligans,148.448,74,2010,5MMLS3xm12D7N26xlfFApr
127,['Robin Trower'],Long Misty Days - 2010 Remaster,A Tale Untold: The Chrysalis Years (1973-1976),343.173,12,2010,4rpcia5i3qn9ST4UBcOWzx
128,['Zac Brown Band'],Colder Weather,You Get What You Give,273.893,73,2010,3U8dHeggJ8IBe0UCb1gbyB
129,['Dierks Bentley'],Señor (Tales Of Yankee Power) - Live From The Ryman/2010,Chimes Of Freedom: The Songs Of Bob Dylan Honoring 50 Years Of Amnesty International,229.04,11,2010,0J7FdMxlIWI5liUqcTBCun
